idx,dist_m,lat,lon,x_m,y_m,segment,target_speed_kph,action,action_code,offtrack_radius_m
814,8140.0,39.79657531180632,-86.23877955663765,-2.4425289820421354,436.3358470705698,163,28.0,accelerate,1,40.0
815,8150.0,39.79666514835889,-86.23878339189862,-2.7705695662997467,446.2663795920711,164,26.0,coast,3,40.0
816,8160.0,39.79675506967775,-86.23878236228528,-2.6825038602743185,456.206282178713,164,26.0,coast,3,40.0
817,8170.0,39.79684496093832,-86.23878520005586,-2.925226304167374,466.14286212239915,164,26.0,coast,3,40.0
818,8180.0,39.79693475207604,-86.23879164956746,-3.4768710470672177,476.06837448576005,164,26.0,coast,3,40.0
819,8190.0,39.7970244914237,-86.2387993102435,-4.132110065009125,485.98816197539844,164,26.0,coast,3,40.0
820,8200.0,39.79711431686784,-86.2388047769937,-4.599696480667962,495.9174665707818,165,24.0,coast,3,40.0
821,8210.0,39.7972041820454,-86.23880929138694,-4.9858251437091985,505.85116329810586,165,24.0,coast,3,40.0
822,8220.0,39.797294050091146,-86.23881370976055,-5.36374097941864,515.7851770754567,165,24.0,coast,3,40.0
823,8230.0,39.79738397766677,-86.23881410496931,-5.397544288185584,525.725771284212,165,24.0,coast,3,40.0
824,8240.0,39.7974739022087,-86.2388144455137,-5.426672001874479,535.6660301493472,165,24.0,coast,3,40.0
825,8250.0,39.79756382356916,-86.238813,-5.3030331766488565,545.6059373354105,166,27.0,accelerate,1,40.0
826,8260.0,39.79765374622333,-86.23881424016164,-5.4091076666153395,555.5459875270832,166,27.0,accelerate,1,40.0
827,8270.0,39.79774364149393,-86.23881752672891,-5.690216944800158,565.4830107387698,166,27.0,accelerate,1,40.0
828,8280.0,39.79783346564909,-86.23882314772024,-6.170996033912957,575.4121728503118,166,27.0,accelerate,1,40.0
829,8290.0,39.797923381851476,-86.23882470709793,-6.30437396287516,585.351509862062,166,27.0,accelerate,1,40.0
830,8300.0,39.798013302431386,-86.23882506395643,-6.334897067071853,595.2913307656818,167,25.0,coast,3,40.0
831,8310.0,39.7981032233301,-86.23882517318633,-6.344239805594615,605.2311869095154,167,25.0,coast,3,40.0
832,8320.0,39.798193134792484,-86.23882270191787,-6.132865311378904,615.1699999609208,167,25.0,coast,3,40.0
833,8330.0,39.79828304994223,-86.23882050692397,-5.945121352373403,625.1092206141616,167,25.0,coast,3,40.0
834,8340.0,39.798372856646296,-86.23882487342682,-6.318600538398009,635.036453681512,167,25.0,coast,3,40.0
835,8350.0,39.79846273925867,-86.23882765907115,-6.556864478184875,644.9720776530168,168,28.0,accelerate,1,40.0
836,8360.0,39.798552630700534,-86.23882420806189,-6.261690015736616,654.9086776369081,168,28.0,accelerate,1,40.0
837,8370.0,39.7986424091448,-86.23881761759606,-5.697989065852878,664.8327868661795,168,28.0,accelerate,1,40.0
838,8380.0,39.79873184207925,-86.23880578137853,-4.6856043196017225,674.7187034399682,168,28.0,accelerate,1,40.0
839,8390.0,39.7988213161462,-86.23879453711965,-3.7238514510313045,684.6091668014274,168,28.0,accelerate,1,40.0
840,8400.0,39.798910823585516,-86.23878348662082,-2.7786714200016656,694.5033191428361,169,26.0,coast,3,40.0
841,8410.0,39.79899993727983,-86.2387677394441,-1.431771410685479,704.3539469123143,169,26.0,coast,3,40.0
842,8420.0,39.79908926890822,-86.23875427756937,-0.28033966404765176,714.2286651145787,169,26.0,coast,3,40.0
843,8430.0,39.799178582562945,-86.23874077293644,0.8747493116684011,724.1013965077026,169,26.0,coast,3,40.0
844,8440.0,39.799267862836324,-86.23872699471589,2.053239000762625,733.9704379270796,169,26.0,coast,3,40.0
845,8450.0,39.799356446583,-86.2387070660251,3.7577955873964286,743.7624852843954,170,24.0,coast,3,40.0
846,8460.0,39.79944250931805,-86.23867386400724,6.597656914086631,753.2758600170307,170,24.0,coast,3,40.0
847,8470.0,39.79952840861234,-86.23863935329805,9.549454265054681,762.7711680079269,170,24.0,coast,3,40.0
848,8480.0,39.79960881963988,-86.2385890551097,13.851598806742071,771.6598029923161,170,24.0,coast,3,40.0
849,8490.0,39.799677682829525,-86.23851427087084,20.24810364176847,779.2719399758938,170,24.0,coast,3,40.0
850,8500.0,39.79974501931011,-86.2384376650755,26.800411291174548,786.7153145395077,171,27.0,accelerate,1,40.0
851,8510.0,39.7997924830277,-86.23833872344909,35.26316495857867,791.9619538819934,171,27.0,accelerate,1,40.0
852,8520.0,39.799833117540715,-86.23823429927661,44.194856104888906,796.4536929504318,171,27.0,accelerate,1,40.0
853,8530.0,39.79987436132347,-86.23813030257688,53.08998431326785,801.0127806960477,171,27.0,accelerate,1,40.0
854,8540.0,39.79991332330352,-86.23802480452395,62.11352745504754,805.3196379712041,171,27.0,accelerate,1,40.0
855,8550.0,39.79994973322084,-86.23791780033746,71.2658944067908,809.3443902320681,172,25.0,coast,3,40.0
856,8560.0,39.80000349791876,-86.23782673813454,79.0546989742755,815.2875399393525,172,25.0,coast,3,40.0
857,8570.0,39.80007918414877,-86.23776389477992,84.42986662735198,823.6538958051748,172,25.0,coast,3,40.0
858,8580.0,39.800159314893115,-86.23771079463494,88.97167034632336,832.5115482846217,172,25.0,coast,3,40.0
859,8590.0,39.80024169306391,-86.23766445214764,92.93547272653879,841.6176312843229,172,25.0,coast,3,40.0
860,8600.0,39.800323834381544,-86.23761748141796,96.95301043403023,850.6975325357294,173,28.0,accelerate,1,40.0
861,8610.0,39.800406925427744,-86.23757412711595,100.66122498125772,859.8824167823809,173,28.0,accelerate,1,40.0
862,8620.0,39.80048418154266,-86.237514299409,105.7784558654106,868.4223077254937,173,28.0,accelerate,1,40.0
863,8630.0,39.80055890921429,-86.23744918484236,111.34788662598287,876.6827045476541,173,28.0,accelerate,1,40.0
864,8640.0,39.80063276517424,-86.23738239529615,117.06058306837684,884.8467423608765,173,28.0,accelerate,1,40.0
865,8650.0,39.80070302091465,-86.2373094443424,123.30028190698101,892.6128119056211,174,26.0,coast,3,40.0
866,8660.0,39.8007649836082,-86.23722492505584,130.52945256347996,899.4621680498321,174,26.0,coast,3,40.0
867,8670.0,39.80081907121346,-86.23713145056132,138.52458717027673,905.4410119361626,174,26.0,coast,3,40.0
868,8680.0,39.800871648332794,-86.23703648512002,146.64724661972525,911.2528867072612,174,26.0,coast,3,40.0
869,8690.0,39.80091655472751,-86.23693525052097,155.30612464192828,916.216839578341,174,26.0,coast,3,40.0
870,8700.0,39.80096153416389,-86.23683389425359,163.97540929602607,921.1888664762907,175,24.0,coast,3,40.0
871,8710.0,39.801009098652706,-86.23673460585799,172.4678231010013,926.446645070171,175,24.0,coast,3,40.0
872,8720.0,39.801049969449124,-86.23663043444792,181.37789477322616,930.9645029059478,175,24.0,coast,3,40.0
873,8730.0,39.80108409144287,-86.23652217994996,190.63720435687523,934.7363480945971,175,24.0,coast,3,40.0
874,8740.0,39.801115861437985,-86.23641267111086,200.003801242608,938.2482033547129,175,24.0,coast,3,40.0
875,8750.0,39.80115036809571,-86.23630460798272,209.24674243205257,942.0625693002042,176,27.0,accelerate,1,40.0
876,8760.0,39.80117582889456,-86.236192641199,218.82357418611844,944.8770060041327,176,27.0,accelerate,1,40.0
877,8770.0,39.80119654160857,-86.236079059559,228.5385291074777,947.166589411117,176,27.0,accelerate,1,40.0
878,8780.0,39.80118120111769,-86.23596433705896,238.35106497624878,945.4708515494117,176,27.0,accelerate,1,40.0
879,8790.0,39.8011418868487,-86.23585977965273,247.2941519777668,941.1250522549713,176,27.0,accelerate,1,40.0
880,8800.0,39.80109004661197,-86.23576415466422,255.47322434131328,935.3946324868084,177,25.0,coast,3,40.0
881,8810.0,39.801029596484284,-86.23567774422278,262.86415075666116,928.7124753730584,177,25.0,coast,3,40.0
882,8820.0,39.800954481054646,-86.23561351820184,268.3575817226276,920.4092157805925,177,25.0,coast,3,40.0
883,8830.0,39.800875860249924,-86.23555670217495,273.21721519966866,911.7184720266731,177,25.0,coast,3,40.0
884,8840.0,39.80079481838102,-86.23550607870061,277.5471823598477,902.7601038378575,177,25.0,coast,3,40.0
885,8850.0,39.800706580542624,-86.2354840967571,279.42735938671456,893.0062931813248,178,28.0,accelerate,1,40.0
886,8860.0,39.80061739747475,-86.23546902144098,280.71679328327343,883.1479968594743,178,28.0,accelerate,1,40.0
887,8870.0,39.800527685854995,-86.23546302047328,281.2300728123931,873.231274411288,178,28.0,accelerate,1,40.0
888,8880.0,39.80043777519567,-86.23546543422776,281.0236176493904,863.2925501294102,178,28.0,accelerate,1,40.0
889,8890.0,39.80034784996086,-86.23546511416602,281.0509934243275,853.3522146733559,178,28.0,accelerate,1,40.0
890,8900.0,39.80025796444152,-86.2354616223679,281.3496566712292,843.4162693655451,179,26.0,coast,3,40.0
891,8910.0,39.80016805177024,-86.23545929677935,281.54857075446563,833.4773226822449,179,26.0,coast,3,40.0
892,8920.0,39.80007821183424,-86.23546221420118,281.29903551722316,823.546416157208,179,26.0,coast,3,40.0
893,8930.0,39.799988333725295,-86.23545822035891,281.6406400021319,813.6112899938727,179,26.0,coast,3,40.0
894,8940.0,39.79989853525188,-86.23545227163413,282.14945104799676,803.6849667424626,179,26.0,coast,3,40.0
895,8950.0,39.79980897047069,-86.23544192224372,283.03466331726725,793.7844758300764,180,24.0,coast,3,40.0
896,8960.0,39.7997199890417,-86.23542515216026,284.46905539755517,783.9484686694252,180,24.0,coast,3,40.0
897,8970.0,39.79963290606548,-86.23539757607577,286.82771492867806,774.3223164785418,180,24.0,coast,3,40.0
898,8980.0,39.79955010721796,-86.23535203407083,290.723049818622,765.1697318730029,180,24.0,coast,3,40.0
899,8990.0,39.799474686565034,-86.23528848507266,296.15857313512157,756.8327328986898,180,24.0,coast,3,40.0
900,9000.0,39.79940875763904,-86.23520892871883,302.9632502924077,749.5449494199995,181,27.0,accelerate,1,40.0
901,9010.0,39.79933788012921,-86.23513689344819,309.124628197859,741.7101494827568,181,27.0,accelerate,1,40.0
902,9020.0,39.79926032289999,-86.23507820757857,314.1441945457062,733.1369733646663,181,27.0,accelerate,1,40.0
903,9030.0,39.79917317610961,-86.23505086341692,316.48301706914117,723.5037671563836,181,27.0,accelerate,1,40.0
904,9040.0,39.79908411988034,-86.23503467869232,317.86734177109264,713.6594915730208,181,27.0,accelerate,1,40.0
905,9050.0,39.7989945090158,-86.23502532792841,318.667138725206,703.7539066065578,182,25.0,coast,3,40.0
906,9060.0,39.79890513241732,-86.235012493956,319.7648642333854,693.8742174101424,182,25.0,coast,3,40.0
907,9070.0,39.79881586577054,-86.2349983907869,320.9711476797484,684.0066822756289,182,25.0,coast,3,40.0
908,9080.0,39.79872616725727,-86.2349903690898,321.65726583790837,674.0914086183371,182,25.0,coast,3,40.0
909,9090.0,39.79863628554184,-86.2349867122992,321.97004135234795,664.1558837949999,182,25.0,coast,3,40.0
910,9100.0,39.7985463895827,-86.23498391295043,322.2094774722573,654.2187844715147,183,28.0,accelerate,1,40.0
911,9110.0,39.79845649936483,-86.23498054664972,322.4974065734377,644.2823197886016,183,28.0,accelerate,1,40.0
912,9120.0,39.79836662971945,-86.2349763002517,322.8606128568241,634.3481291883116,183,28.0,accelerate,1,40.0
913,9130.0,39.79827671902649,-86.23497418669163,323.0413915542768,624.4094011881075,183,28.0,accelerate,1,40.0
914,9140.0,39.798186816685465,-86.23497497688989,322.9738036890571,614.4715964114661,183,28.0,accelerate,1,40.0
915,9150.0,39.798096932824244,-86.2349724104479,323.19331864140173,604.5358343915291,184,26.0,coast,3,40.0
916,9160.0,39.79800700455947,-86.23497349994439,323.10013096318306,594.5951640039964,184,26.0,coast,3,40.0
917,9170.0,39.797917082382796,-86.23497283529483,323.1569802970992,584.6551665939363,184,26.0,coast,3,40.0
918,9180.0,39.79782725411374,-86.23496773408678,323.5933008693423,574.7255497329897,184,26.0,coast,3,40.0
919,9190.0,39.79773737338745,-86.23496437044308,323.8810027110793,564.7901342483983,184,26.0,coast,3,40.0
920,9200.0,39.79764752756862,-86.23495940293634,324.30588743739145,554.8585774351448,185,24.0,coast,3,40.0
921,9210.0,39.79755765355547,-86.23495521152525,324.6643905352536,544.9239040215857,185,24.0,coast,3,40.0
922,9220.0,39.79746785706703,-86.23494884267343,325.20913622041115,534.9978001901953,185,24.0,coast,3,40.0
923,9230.0,39.79737797107458,-86.23494514608377,325.5253158586317,525.061802584247,185,24.0,coast,3,40.0
924,9240.0,39.79728813440413,-86.2349397808003,325.9842235405784,515.1312570321968,185,24.0,coast,3,40.0
925,9250.0,39.797198319643066,-86.23493388563026,326.48845390067834,505.20313334428624,186,27.0,accelerate,1,40.0
926,9260.0,39.79710843940157,-86.23492992897756,326.826877457556,495.267771449761,186,27.0,accelerate,1,40.0
927,9270.0,39.797018542723954,-86.23492935731562,326.8757732996161,485.3305927059323,186,27.0,accelerate,1,40.0
928,9280.0,39.796928635475034,-86.23492992927099,326.8268523599204,475.3922454103803,186,27.0,accelerate,1,40.0
929,9290.0,39.79683878333851,-86.23493260114905,326.5983191651492,465.4599902388766,186,27.0,accelerate,1,40.0
930,9300.0,39.79674889997385,-86.234935,326.39313874459623,455.52428310912137,187,25.0,coast,3,40.0
931,9310.0,39.79665897768824,-86.23493640529314,326.2729400968028,445.5842736578729,187,25.0,coast,3,40.0
932,9320.0,39.79656904970665,-86.234937,326.22207315746857,435.64363457278165,187,25.0,coast,3,40.0
933,9330.0,39.79647917052944,-86.23493340852647,326.5292619202513,425.7083903235778,187,25.0,coast,3,40.0
934,9340.0,39.79638924439565,-86.234933,326.56420433050846,415.7679554949441,187,25.0,coast,3,40.0
935,9350.0,39.79629944194827,-86.23492693383271,327.0830605619331,405.8411929616048,188,28.0,accelerate,1,40.0
936,9360.0,39.79620952425127,-86.2349253404742,327.2193449653533,395.90169073540045,188,28.0,accelerate,1,40.0
937,9370.0,39.796119729881596,-86.2349192362775,327.74145396018986,385.9758211115729,188,28.0,accelerate,1,40.0
938,9380.0,39.796030133912154,-86.23491,328.5314585733608,376.071882649804,188,28.0,accelerate,1,40.0
939,9390.0,39.79594020252654,-86.23490976632053,328.5514458316903,366.1308672837886,188,28.0,accelerate,1,40.0
940,9400.0,39.795850276073644,-86.23490948275392,328.5757000753026,356.1903971802808,189,26.0,coast,3,40.0
941,9410.0,39.79576038638886,-86.23491254382937,328.3138777424362,346.2539914241278,189,26.0,coast,3,40.0
942,9420.0,39.79567057422975,-86.23491544171759,328.06601326777246,336.32615535660415,189,26.0,coast,3,40.0
943,9430.0,39.79558070090479,-86.23491166322879,328.3891979695673,326.3915580158774,189,26.0,coast,3,40.0
944,9440.0,39.795490806305736,-86.23491296303014,328.27802232955884,316.4546090359546,189,26.0,coast,3,40.0
945,9450.0,39.79540092877482,-86.234916,328.0182618144087,306.5195467682429,190,24.0,coast,3,40.0
946,9460.0,39.79531107851426,-86.23491941221396,327.7264056240183,296.5874989660931,190,24.0,coast,3,40.0
947,9470.0,39.79522123246779,-86.234923,327.41953226250047,286.6559169896321,190,24.0,coast,3,40.0
948,9480.0,39.79513136416879,-86.23491978859565,327.69421264661986,276.72187521803403,190,24.0,coast,3,40.0
949,9490.0,39.79504148922961,-86.23491646099144,327.97883192900736,266.7870994411949,190,24.0,coast,3,40.0
950,9500.0,39.79495156019904,-86.23491548468297,328.0623383193707,256.84634440165956,191,27.0,accelerate,1,40.0
951,9510.0,39.79486163146142,-86.2349155345607,328.05807213719555,246.90562174533252,191,27.0,accelerate,1,40.0
952,9520.0,39.79477173293493,-86.23491835710644,327.8166519166075,236.96823862781466,191,27.0,accelerate,1,40.0
953,9530.0,39.7946818758061,-86.23492311058585,327.4100735445822,227.03543160601419,191,27.0,accelerate,1,40.0
954,9540.0,39.79459198764791,-86.23492347967061,327.37850469514757,217.09919460011872,191,27.0,accelerate,1,40.0
955,9550.0,39.794502088374166,-86.23492033660645,327.6473397515192,207.16172888060444,192,25.0,coast,3,40.0
956,9560.0,39.79441216344134,-86.2349209858117,327.59181141411426,197.221426805661,192,25.0,coast,3,40.0
957,9570.0,39.79432229238568,-86.23491673112973,327.9557262463335,187.2870803130877,192,25.0,coast,3,40.0
958,9580.0,39.79423240106499,-86.23491329274786,328.249820650923,177.35049372341362,192,25.0,coast,3,40.0
959,9590.0,39.794142563344465,-86.23491006502222,328.5258970408673,167.4198320972005,192,25.0,coast,3,40.0
960,9600.0,39.794052680396035,-86.23491346563596,328.2350330501253,157.48417097795584,193,28.0,accelerate,1,40.0
961,9610.0,39.793962750257634,-86.234914,328.1893274003209,147.54329347872357,193,28.0,accelerate,1,40.0
962,9620.0,39.79387282929043,-86.23491549799265,328.06119990537314,137.60342976426222,193,28.0,accelerate,1,40.0
963,9630.0,39.79378291599081,-86.23491410583759,328.1802748156994,127.66441362391375,193,28.0,accelerate,1,40.0
964,9640.0,39.793693022152475,-86.23491130127005,328.4201573114086,117.72754873442385,193,28.0,accelerate,1,40.0
965,9650.0,39.79360311987043,-86.23491431812515,328.162117267853,107.78975047757405,194,26.0,coast,3,40.0
