distance_m,lat,lon,x,y,curvature_1_m,segment,target_speed_kph,action,pred_current_mA,pred_peak_current_mA,pred_power_w,throttle_duty
229.5980882536577,46.372345041,-70.943289036,-51.24466092938747,6.850265041332289,0.005027201111863399,12,29.0,coast,0.0,0.0,0.0,0.0
234.59106946538338,46.372315427,-70.943337956,-54.997859040619744,3.5573384830124524,0.010634958156903273,12,29.0,coast,0.0,0.0,0.0,0.0
239.58319254456393,46.372284027,-70.943384462,-58.56585232320856,0.06581778665560575,0.015794191822345927,13,27.5,coast,0.0,0.0,0.0,0.0
244.57471194805288,46.372250032,-70.943426951,-61.825656791523464,-3.7142537449110935,0.018582339227416898,13,27.5,coast,0.0,0.0,0.0,0.0
249.56591749988092,46.372213493,-70.943464738,-64.72471846411784,-7.777205169564513,0.020702958669939858,13,27.5,coast,0.0,0.0,0.0,0.0
254.55673689595892,46.372174475,-70.94349689,-67.19145651990279,-12.11580881686978,0.024148430945260264,13,27.5,coast,0.0,0.0,0.0,0.0
259.5464385197139,46.37213316,-70.943522272,-69.13879246482863,-16.70982721166348,0.02824481400227793,14,26.0,coast,0.0,0.0,0.0,0.0
264.53404300876537,46.37208974,-70.943538582,-70.39011423960176,-21.537910926263397,0.02824481400227793,14,26.0,coast,0.0,0.0,0.0,0.0
269.52331006732743,46.372045095,-70.94354508,-70.88864820006356,-26.502208426607094,0.029146783590073194,14,26.0,coast,0.0,0.0,0.0,0.0
274.51311783524113,46.372000238,-70.943543268,-70.7496294959092,-31.490079250979644,0.029738470802875193,14,26.0,coast,0.0,0.0,0.0,0.0
279.50029575888647,46.37195608,-70.943531887,-69.87646621544847,-36.400224821912374,0.03098646516149846,15,24.5,coast,0.0,0.0,0.0,0.0
284.4882511206504,46.371913876,-70.943509857,-68.18629952625344,-41.093095505586156,0.03098646516149846,15,24.5,coast,0.0,0.0,0.0,0.0
289.4772756028842,46.371874375,-70.943479018,-65.82029632672392,-45.4854063033491,0.02997725797348391,15,24.5,coast,0.0,0.0,0.0,0.0
294.4651712399031,46.371838565,-70.943439864,-62.816356856579816,-49.46729662648736,0.028589176847069003,15,24.5,coast,0.0,0.0,0.0,0.0
299.45496708417016,46.371807053,-70.94339356,-59.26386124477121,-52.971271154868745,0.027220576121539778,15,24.5,coast,0.0,0.0,0.0,0.0
304.4444993043408,46.37177984,-70.94334185,-55.29661115539998,-55.99721869316236,0.027150589983346914,16,23.0,coast,0.0,0.0,0.0,0.0
309.43334134230224,46.371757965,-70.943285077,-50.94092194098857,-58.42960771369159,0.02694164299135873,16,23.0,coast,0.0,0.0,0.0,0.0
314.4233974014149,46.371741443,-70.943224604,-46.30136451232547,-60.266770292023715,0.02694164299135873,16,23.0,coast,0.0,0.0,0.0,0.0
319.41252916220157,46.371730457,-70.943161554,-41.46409670971825,-61.48835775608424,0.02871770608867988,16,23.0,coast,0.0,0.0,0.0,0.0
324.4008731132823,46.371725935,-70.943096866,-36.50115968167199,-61.991181214100095,0.02871770608867988,17,21.5,coast,0.0,0.0,0.0,0.0
329.38950382329085,46.371728186,-70.943031925,-31.518812204714173,-61.740881434450614,0.02749135838190241,17,21.5,coast,0.0,0.0,0.0,0.0
334.3793049995621,46.371736548,-70.942968026,-26.616408155032186,-60.81106945755431,0.025630631737377715,17,21.5,coast,0.0,0.0,0.0,0.0
339.36932837077325,46.371750274,-70.942906102,-21.86552835371494,-59.284807894561645,0.024343623287321647,17,21.5,coast,0.0,0.0,0.0,0.0
344.3591742570401,46.371769332,-70.94284722,-17.348034258030484,-57.16565498262957,0.01985935893752866,18,20.0,coast,0.0,0.0,0.0,0.0
349.35099839131664,46.371792642,-70.942791614,-13.081878612133803,-54.5737012421994,0.011896650850739555,18,20.0,coast,0.0,0.0,0.0,0.0
354.34399985461215,46.371818002,-70.942737907,-8.961416408658842,-51.75379790303943,0.005422837858260199,18,20.0,coast,0.0,0.0,0.0,0.0
359.3372055743782,46.371844165,-70.942685012,-4.903251770704872,-48.844605037111776,0.0023774121797709435,18,20.0,coast,0.0,0.0,0.0,0.0
364.3304926901455,46.37187071,-70.942632517,-0.8757755886403493,-45.89293570885174,0.001360750092430283,19,25.0,accelerate,19490.948,19490.948,473.415635972,1.0
369.3236806742797,46.371897424,-70.942580204,3.1377373477280095,-42.92247443919922,0.001360750092430283,19,25.0,accelerate,19490.948,19490.948,473.415635972,1.0
374.3169289719599,46.371924352,-70.942528121,7.133604421251258,-39.92821745406599,0.0016271152080972902,19,25.0,accelerate,19490.948,19490.948,473.415635972,1.0
379.3101334650349,46.37195166,-70.942476456,11.09740205881705,-36.89170639726214,0.0016271152080972902,19,25.0,accelerate,19490.948,19490.948,473.415635972,1.0
384.30337038129807,46.371979295,-70.942425157,15.033119758884208,-33.81883459920233,0.0007858778183592082,20,23.5,coast,0.0,0.0,0.0,0.0
389.29664866423286,46.372007053,-70.942373997,18.95817322113488,-30.73228582600882,0.0006354986811756961,20,23.5,coast,0.0,0.0,0.0,0.0
394.2899132539436,46.372034795,-70.942322819,22.884607664543843,-27.64751617099874,0.0006354986811756961,20,23.5,coast,0.0,0.0,0.0,0.0
399.28314429899285,46.372062414,-70.942271502,26.821706345769286,-24.57642349191245,0.0007731741340582673,20,23.5,coast,0.0,0.0,0.0,0.0
